tconst	imdb_id	primaryTitle	startYear	averageRating	numVotes
tt6644200	6644200	A Quiet Place	2018	7.5	581842
tt0409459	409459	Watchmen	2009	7.6	581361
tt0258463	258463	The Bourne Identity	2002	7.8	575289
tt0290334	290334	X2	2003	7.4	575106
tt0343818	343818	I, Robot	2004	7.1	574042
tt10811166	10811166	The Kashmir Files	2022	8.6	573539
tt0096874	96874	Back to the Future Part II	1989	7.8	571278
tt2310332	2310332	The Hobbit: The Battle of the Five Armies	2014	7.4	570553
tt0071853	71853	Monty Python and the Holy Grail	1975	8.2	569277
tt0332452	332452	Troy	2004	7.3	569203
tt6966692	6966692	Green Book	2018	8.2	567686
tt1570728	1570728	Crazy, Stupid, Love.	2011	7.4	562975
tt1298650	1298650	Pirates of the Caribbean: On Stranger Tides	2011	6.6	562936
tt0112641	112641	Casino	1995	8.2	562481
tt0454921	454921	The Pursuit of Happyness	2006	8.0	559315
tt1318514	1318514	Rise of the Planet of the Apes	2011	7.6	556920
tt1022603	1022603	500 Days of Summer	2009	7.7	556240
tt6320628	6320628	Spider-Man: Far from Home	2019	7.4	554390
tt5027774	5027774	Three Billboards Outside Ebbing, Missouri	2017	8.1	553716
tt1457767	1457767	The Conjuring	2013	7.5	553420
tt1483013	1483013	Oblivion	2013	7.0	552335
tt4972582	4972582	Split	2016	7.3	549459
tt0945513	945513	Source Code	2011	7.5	548772
tt0467406	467406	Juno	2007	7.4	548331
tt1659337	1659337	The Perks of Being a Wallflower	2012	7.9	546867
tt2713180	2713180	Fury	2014	7.6	545651
tt0095953	95953	Rain Man	1988	8.0	545649
tt2948356	2948356	Zootopia	2016	8.0	544672
tt0097165	97165	Dead Poets Society	1989	8.1	543868
tt0242653	242653	The Matrix Revolutions	2003	6.7	542335
tt0356910	356910	Mr. & Mrs. Smith	2005	6.5	540072
tt0376994	376994	X-Men: The Last Stand	2006	6.6	539841
tt1270797	1270797	Venom	2018	6.6	536684
tt1872181	1872181	The Amazing Spider-Man 2	2014	6.6	536558
tt0425112	425112	Hot Fuzz	2007	7.8	534476
tt0087469	87469	Indiana Jones and the Temple of Doom	1984	7.5	534414
tt1411697	1411697	The Hangover Part II	2011	6.5	533430
tt2872732	2872732	Lucy	2014	6.4	533104
tt0314331	314331	Love Actually	2003	7.6	530857
tt6710474	6710474	Everything Everywhere All at Once	2022	7.8	529884
